PI,TIME,PROC_NUM,N,SCALING,TEST_CASE_NUM
3.141598,0.382235,9,100000000,strong,2
3.141541,3.440313,9,100000000,weak,2
3.141773,0.388276,9,100000000,strong,3
3.141644,3.440609,9,100000000,weak,3
3.141518,0.383044,9,100000000,strong,4
3.141598,3.439082,9,100000000,weak,4
3.141822,0.384584,9,100000000,strong,5
3.141636,3.529110,9,100000000,weak,5
3.141842,0.382818,9,100000000,strong,6
3.141611,3.440537,9,100000000,weak,6
3.141876,0.382339,9,100000000,strong,7
3.141580,3.453372,9,100000000,weak,7
3.141505,0.382591,9,100000000,strong,8
3.141625,3.440295,9,100000000,weak,8
3.141388,0.392723,9,100000000,strong,9
3.141640,3.444867,9,100000000,weak,9
3.141583,0.388896,9,100000000,strong,10
3.141599,3.440205,9,100000000,weak,10
3.141525,0.395181,9,100000000,strong,11
3.141603,3.438158,9,100000000,weak,11
3.141681,0.394991,9,100000000,strong,12
3.141512,3.437988,9,100000000,weak,12
3.141391,0.394985,9,100000000,strong,13
3.141574,3.437410,9,100000000,weak,13
3.141501,0.382174,9,100000000,strong,14
3.141609,3.438081,9,100000000,weak,14
3.141597,0.395355,9,100000000,strong,15
3.141528,3.441393,9,100000000,weak,15
3.141629,0.343980,10,100000000,strong,1
3.141653,3.557748,10,100000000,weak,1
3.141623,0.344877,10,100000000,strong,2
3.141671,3.440270,10,100000000,weak,2
3.141589,0.356304,10,100000000,strong,3
3.141566,3.440153,10,100000000,weak,3
3.141683,0.343973,10,100000000,strong,4
3.141649,3.439703,10,100000000,weak,4
3.141776,0.344003,10,100000000,strong,5
3.141662,3.439829,10,100000000,weak,5
3.141521,0.343849,10,100000000,strong,6
3.141576,3.437670,10,100000000,weak,6
3.141577,0.356598,10,100000000,strong,7
3.141604,3.438587,10,100000000,weak,7
3.141459,0.344806,10,100000000,strong,8
3.141642,3.439931,10,100000000,weak,8
3.141559,0.344456,10,100000000,strong,9
3.141582,3.440818,10,100000000,weak,9
3.141526,0.345814,10,100000000,strong,10
3.141651,3.468607,10,100000000,weak,10
3.141343,0.356505,10,100000000,strong,11
3.141518,3.557070,10,100000000,weak,11
3.141446,0.344762,10,100000000,strong,12
3.141635,3.440897,10,100000000,weak,12
3.141566,0.353000,10,100000000,strong,13
3.141587,3.440947,10,100000000,weak,13
3.141543,0.344000,10,100000000,strong,14
3.141638,3.440062,10,100000000,weak,14
3.141574,0.344601,10,100000000,strong,15
3.141550,3.440121,10,100000000,weak,15
