TIME,ARR_SIZE,SCHEDULE_TYPE,CHUNK_SIZE,TEST_CASE_NUM
0.364874,40000000,dynamic,1,9
0.371548,40000000,dynamic,1,10
0.368951,40000000,dynamic,1,11
0.379902,40000000,dynamic,1,12
0.364515,40000000,dynamic,1,13
0.364535,40000000,dynamic,1,14
0.369352,40000000,dynamic,1,15
0.372360,40000000,dynamic,1,16
0.371849,40000000,dynamic,1,17
0.416784,40000000,dynamic,1,18
0.365669,40000000,dynamic,1,19
0.370581,40000000,dynamic,1,20
0.073776,40000000,dynamic,10,1
0.075233,40000000,dynamic,10,2
0.074575,40000000,dynamic,10,3
0.073442,40000000,dynamic,10,4
0.073709,40000000,dynamic,10,5
0.073481,40000000,dynamic,10,6
0.073202,40000000,dynamic,10,7
0.074721,40000000,dynamic,10,8
0.074472,40000000,dynamic,10,9
0.074276,40000000,dynamic,10,10
0.073288,40000000,dynamic,10,11
0.074189,40000000,dynamic,10,12
0.073880,40000000,dynamic,10,13
0.074421,40000000,dynamic,10,14
0.073067,40000000,dynamic,10,15
0.074872,40000000,dynamic,10,16
0.073607,40000000,dynamic,10,17
0.073268,40000000,dynamic,10,18
0.073653,40000000,dynamic,10,19
0.074033,40000000,dynamic,10,20
0.034206,40000000,dynamic,100,1
0.033626,40000000,dynamic,100,2
0.034661,40000000,dynamic,100,3
0.033632,40000000,dynamic,100,4
0.034111,40000000,dynamic,100,5
0.033593,40000000,dynamic,100,6
0.034023,40000000,dynamic,100,7
0.033979,40000000,dynamic,100,8
0.033433,40000000,dynamic,100,9
0.034406,40000000,dynamic,100,10
0.033512,40000000,dynamic,100,11
0.034391,40000000,dynamic,100,12
